




Analysis Type:	PANTHER Overrepresentation Test (Released 20240807)
Annotation Version and Release Date:	GO Ontology database DOI:  10.5281/zenodo.12173881 Released 2024-06-17
Analyzed List:	upload_1 (Drosophila melanogaster)
Reference List:	Drosophila melanogaster (all genes in database)
Test Type:	FISHER
Correction:	FDR
GO biological process complete	Drosophila melanogaster - REFLIST (13821)	upload_1 (101)	upload_1 (expected)	upload_1 (over/under)	upload_1 (fold Enrichment)	upload_1 (raw P-value)	upload_1 (FDR)
meiotic DNA repair synthesis involved in reciprocal meiotic recombination (GO:0010778)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
sno(s)RNA catabolic process (GO:0016077)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
DNA duplex unwinding (GO:0032508)	22	0	.16	-	 < 0.01	1.00E00	1.00E00
meiotic mismatch repair involved in reciprocal meiotic recombination (GO:0010777)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
snRNA catabolic process (GO:0016076)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
maintenance of protein location in cell (GO:0032507)	19	0	.14	-	 < 0.01	1.00E00	1.00E00
rRNA catabolic process (GO:0016075)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
cytokinetic process (GO:0032506)	44	0	.32	-	 < 0.01	1.00E00	1.00E00
sno(s)RNA metabolic process (GO:0016074)	13	0	.10	-	 < 0.01	1.00E00	1.00E00
snRNA metabolic process (GO:0016073)	38	0	.28	-	 < 0.01	1.00E00	1.00E00
rRNA metabolic process (GO:0016072)	160	0	1.17	-	 < 0.01	6.34E-01	1.00E00
mRNA metabolic process (GO:0016071)	344	0	2.51	-	 < 0.01	1.85E-01	1.00E00
RNA metabolic process (GO:0016070)	858	0	6.27	-	 < 0.01	2.88E-03	6.42E-01
positive regulation of cell morphogenesis (GO:0010770)	11	0	.08	-	 < 0.01	1.00E00	1.00E00
protein localization to lysosome (GO:0061462)	12	0	.09	-	 < 0.01	1.00E00	1.00E00
mismatch repair (GO:0006298)	12	0	.09	-	 < 0.01	1.00E00	1.00E00
nucleotide-excision repair, DNA gap filling (GO:0006297)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
ATP generation from poly-ADP-D-ribose (GO:1990966)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
stabilization of membrane potential (GO:0030322)	14	0	.10	-	 < 0.01	1.00E00	1.00E00
transepithelial chloride transport (GO:0030321)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
nucleotide-excision repair, preincision complex assembly (GO:0006294)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
establishment of ER localization (GO:0051686)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
pyrimidine dimer repair (GO:0006290)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
glucose transmembrane transport (GO:1904659)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
establishment of Golgi localization (GO:0051683)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
protein O-linked glycosylation via threonine (GO:0018243)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular response to L-leucine (GO:0071233)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
protein O-linked glycosylation via serine (GO:0018242)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
chloride transmembrane transport (GO:1902476)	26	0	.19	-	 < 0.01	1.00E00	1.00E00
L-alpha-amino acid transmembrane transport (GO:1902475)	17	0	.12	-	 < 0.01	1.00E00	1.00E00
cellular response to amino acid stimulus (GO:0071230)	12	0	.09	-	 < 0.01	1.00E00	1.00E00
regulation of protein localization to synapse (GO:1902473)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of sodium ion transport (GO:0010766)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
positive regulation of sodium ion transport (GO:0010765)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
reproductive system development (GO:0061458)	80	0	.58	-	 < 0.01	1.00E00	1.00E00
negative regulation of phospholipase C-activating phototransduction signaling pathway (GO:0016060)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
flagellated sperm motility (GO:0030317)	48	0	.35	-	 < 0.01	1.00E00	1.00E00
nucleotide-excision repair (GO:0006289)	29	0	.21	-	 < 0.01	1.00E00	1.00E00
base-excision repair, DNA ligation (GO:0006288)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
base-excision repair, gap-filling (GO:0006287)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
base-excision repair, AP site formation (GO:0006285)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
base-excision repair (GO:0006284)	13	0	.10	-	 < 0.01	1.00E00	1.00E00
transcription-coupled nucleotide-excision repair (GO:0006283)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of DNA repair (GO:0006282)	14	0	.10	-	 < 0.01	1.00E00	1.00E00
DNA repair (GO:0006281)	186	0	1.36	-	 < 0.01	6.49E-01	1.00E00
localization of cell (GO:0051674)	14	0	.10	-	 < 0.01	1.00E00	1.00E00
response to rotenone (GO:1904647)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular response to acid chemical (GO:0071229)	14	0	.10	-	 < 0.01	1.00E00	1.00E00
cellular response to peptidoglycan (GO:0071224)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of opsin-mediated signaling pathway (GO:0016059)	17	0	.12	-	 < 0.01	1.00E00	1.00E00
cellular response to lipopolysaccharide (GO:0071222)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
peptidyl-S-diacylglycerol-L-cysteine biosynthetic process from peptidyl-cysteine (GO:0018231)	19	0	.14	-	 < 0.01	1.00E00	1.00E00
regulation of membrane potential in photoreceptor cell (GO:0016057)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
peptidyl-L-cysteine S-palmitoylation (GO:0018230)	19	0	.14	-	 < 0.01	1.00E00	1.00E00
G protein-coupled opsin signaling pathway (GO:0016056)	11	0	.08	-	 < 0.01	1.00E00	1.00E00
protein localization to cell leading edge (GO:1902463)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of plasminogen activation (GO:0010756)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
Wnt signaling pathway (GO:0016055)	29	0	.21	-	 < 0.01	1.00E00	1.00E00
regulation of plasminogen activation (GO:0010755)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
vesicle organization (GO:0016050)	117	0	.86	-	 < 0.01	1.00E00	1.00E00
negative regulation of cell growth (GO:0030308)	19	0	.14	-	 < 0.01	1.00E00	1.00E00
positive regulation of cell growth (GO:0030307)	46	0	.34	-	 < 0.01	1.00E00	1.00E00
premeiotic DNA replication (GO:0006279)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
RNA-templated DNA biosynthetic process (GO:0006278)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
DNA amplification (GO:0006277)	23	0	.17	-	 < 0.01	1.00E00	1.00E00
deoxynucleotide transport (GO:0030302)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of DNA replication (GO:0006275)	33	0	.24	-	 < 0.01	1.00E00	1.00E00
DNA replication termination (GO:0006274)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
lagging strand elongation (GO:0006273)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
localization within membrane (GO:0051668)	203	0	1.48	-	 < 0.01	4.09E-01	1.00E00
post-transcriptional tethering of RNA polymerase II gene DNA at nuclear periphery (GO:0000973)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
leading strand elongation (GO:0006272)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery (GO:0000972)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
DNA strand elongation involved in DNA replication (GO:0006271)	17	0	.12	-	 < 0.01	1.00E00	1.00E00
DNA replication initiation (GO:0006270)	26	0	.19	-	 < 0.01	1.00E00	1.00E00
nuclear pore localization (GO:0051664)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
oocyte nucleus localization involved in oocyte dorsal/ventral axis specification (GO:0051663)	11	0	.08	-	 < 0.01	1.00E00	1.00E00
cellular response to molecule of bacterial origin (GO:0071219)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
cellular response to misfolded protein (GO:0071218)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
establishment of centrosome localization (GO:0051660)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
cellular response to biotic stimulus (GO:0071216)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
cellular response to abiotic stimulus (GO:0071214)	69	0	.50	-	 < 0.01	1.00E00	1.00E00
cell growth (GO:0016049)	73	0	.53	-	 < 0.01	1.00E00	1.00E00
DNA replication, synthesis of primer (GO:0006269)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of long-term synaptic potentiation (GO:1900271)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
DNA unwinding involved in DNA replication (GO:0006268)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
rRNA 5'-end processing (GO:0000967)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
DNA ligation (GO:0006266)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
RNA 5'-end processing (GO:0000966)	25	0	.18	-	 < 0.01	1.00E00	1.00E00
DNA topological change (GO:0006265)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
mitochondrial RNA 3'-end processing (GO:0000965)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
mitochondrial DNA replication (GO:0006264)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
mitochondrial RNA 5'-end processing (GO:0000964)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
mitochondrial RNA processing (GO:0000963)	17	0	.12	-	 < 0.01	1.00E00	1.00E00
DNA-templated DNA replication (GO:0006261)	88	0	.64	-	 < 0.01	1.00E00	1.00E00
establishment of organelle localization (GO:0051656)	165	0	1.21	-	 < 0.01	6.36E-01	1.00E00
DNA replication (GO:0006260)	100	0	.73	-	 < 0.01	1.00E00	1.00E00
establishment of mitochondrion localization (GO:0051654)	13	0	.10	-	 < 0.01	1.00E00	1.00E00
spindle localization (GO:0051653)	37	0	.27	-	 < 0.01	1.00E00	1.00E00
maintenance of location in cell (GO:0051651)	25	0	.18	-	 < 0.01	1.00E00	1.00E00
establishment of vesicle localization (GO:0051650)	56	0	.41	-	 < 0.01	1.00E00	1.00E00
peptidyl-arginine methylation (GO:0018216)	10	0	.07	-	 < 0.01	1.00E00	1.00E00
protein carboxylation (GO:0018214)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
absorption of UV light (GO:0016039)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
peptidyl-tyrosine modification (GO:0018212)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein kinase A signaling (GO:0010739)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
absorption of visible light (GO:0016038)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
peptidyl-tryptophan modification (GO:0018211)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of mitochondrial membrane permeability involved in programmed necrotic cell death (GO:1902445)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of protein kinase A signaling (GO:0010738)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
light absorption (GO:0016037)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
peptidyl-threonine modification (GO:0018210)	12	0	.09	-	 < 0.01	1.00E00	1.00E00
protein kinase A signaling (GO:0010737)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
cellular response to phosphate starvation (GO:0016036)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
viral process (GO:0016032)	31	0	.23	-	 < 0.01	1.00E00	1.00E00
tRNA import into mitochondrion (GO:0016031)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
phagosome-lysosome fusion involved in apoptotic cell clearance (GO:0090389)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of DNA-directed DNA polymerase activity (GO:1900264)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
phagolysosome assembly involved in apoptotic cell clearance (GO:0090387)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of DNA-directed DNA polymerase activity (GO:1900262)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
DNA metabolic process (GO:0006259)	305	0	2.23	-	 < 0.01	1.77E-01	1.00E00
phagosome maturation involved in apoptotic cell clearance (GO:0090386)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
response to amino acid starvation (GO:1990928)	18	0	.13	-	 < 0.01	1.00E00	1.00E00
mitochondrial RNA metabolic process (GO:0000959)	28	0	.20	-	 < 0.01	1.00E00	1.00E00
phagosome-lysosome fusion (GO:0090385)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
mitochondrial mRNA catabolic process (GO:0000958)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
mitochondrial RNA catabolic process (GO:0000957)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
nuclear-transcribed mRNA catabolic process (GO:0000956)	60	0	.44	-	 < 0.01	1.00E00	1.00E00
phagosome maturation (GO:0090382)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
vesicle localization (GO:0051648)	60	0	.44	-	 < 0.01	1.00E00	1.00E00
nucleus localization (GO:0051647)	42	0	.31	-	 < 0.01	1.00E00	1.00E00
mitochondrion localization (GO:0051646)	23	0	.17	-	 < 0.01	1.00E00	1.00E00
Golgi localization (GO:0051645)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
endoplasmic reticulum localization (GO:0051643)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
peptidyl-serine modification (GO:0018209)	50	0	.37	-	 < 0.01	1.00E00	1.00E00
centrosome localization (GO:0051642)	17	0	.12	-	 < 0.01	1.00E00	1.00E00
peptidyl-proline modification (GO:0018208)	44	0	.32	-	 < 0.01	1.00E00	1.00E00
organelle localization (GO:0051640)	219	0	1.60	-	 < 0.01	4.14E-01	1.00E00
peptidyl-methionine modification (GO:0018206)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
peptidyl-lysine modification (GO:0018205)	37	0	.27	-	 < 0.01	1.00E00	1.00E00
peptidyl-histidine modification (GO:0018202)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
peptidyl-glycine modification (GO:0018201)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
peptidyl-glutamic acid modification (GO:0018200)	14	0	.10	-	 < 0.01	1.00E00	1.00E00
CDP-diacylglycerol biosynthetic process (GO:0016024)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of cell development (GO:0010721)	42	0	.31	-	 < 0.01	1.00E00	1.00E00
positive regulation of cell development (GO:0010720)	82	0	.60	-	 < 0.01	1.00E00	1.00E00
double-strand break repair involved in meiotic recombination (GO:1990918)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
oligopeptide export from mitochondrion (GO:0090374)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
pyrimidine nucleotide catabolic process (GO:0006244)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
actin filament network formation (GO:0051639)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
CTP biosynthetic process (GO:0006241)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of extracellular matrix disassembly (GO:0010716)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of extracellular matrix disassembly (GO:0010715)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
positive regulation of synaptic vesicle endocytosis (GO:1900244)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
regulation of synaptic vesicle endocytosis (GO:1900242)	10	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of proteasome assembly (GO:0090364)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
dTTP biosynthetic process (GO:0006235)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
salt aversion (GO:0035199)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
dTDP biosynthetic process (GO:0006233)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
miRNA processing (GO:0035196)	12	0	.09	-	 < 0.01	1.00E00	1.00E00
dTMP biosynthetic process (GO:0006231)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
miRNA-mediated post-transcriptional gene silencing (GO:0035195)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
regulatory ncRNA-mediated post-transcriptional gene silencing (GO:0035194)	38	0	.28	-	 < 0.01	1.00E00	1.00E00
larval central nervous system remodeling (GO:0035193)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
nuclear cortical migration (GO:0035192)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
nuclear axial expansion (GO:0035191)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
syncytial nuclear migration (GO:0035190)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
heteroduplex formation involved in double-strand break repair via synthesis-dependent strand annealing (GO:0010709)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
protein localization to cell junction (GO:1902414)	11	0	.08	-	 < 0.01	1.00E00	1.00E00
septate junction assembly (GO:0019991)	37	0	.27	-	 < 0.01	1.00E00	1.00E00
meiotic DNA double-strand break processing involved in reciprocal meiotic recombination (GO:0010705)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
mitotic cytokinetic process (GO:1902410)	12	0	.09	-	 < 0.01	1.00E00	1.00E00
chaeta morphogenesis (GO:0008407)	44	0	.32	-	 < 0.01	1.00E00	1.00E00
gonad development (GO:0008406)	50	0	.37	-	 < 0.01	1.00E00	1.00E00
UTP biosynthetic process (GO:0006228)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
dUDP biosynthetic process (GO:0006227)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
dUMP biosynthetic process (GO:0006226)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
UDP biosynthetic process (GO:0006225)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
hatching (GO:0035188)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
hatching behavior (GO:0035187)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
UMP biosynthetic process (GO:0006222)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
syncytial blastoderm mitotic cell cycle (GO:0035186)	17	0	.12	-	 < 0.01	1.00E00	1.00E00
pyrimidine nucleotide biosynthetic process (GO:0006221)	13	0	.10	-	 < 0.01	1.00E00	1.00E00
preblastoderm mitotic cell cycle (GO:0035185)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
pyrimidine nucleotide metabolic process (GO:0006220)	13	0	.10	-	 < 0.01	1.00E00	1.00E00
histamine uptake (GO:0051615)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
larval wandering behavior (GO:0035180)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
serotonin uptake (GO:0051610)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
charged-tRNA amino acid modification (GO:0019988)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
mitotic cytokinesis, division site positioning (GO:1902408)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
translesion synthesis (GO:0019985)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
assembly of actomyosin apparatus involved in mitotic cytokinesis (GO:1902407)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
regulation of cytoplasmic pattern recognition receptor signaling pathway (GO:0039531)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
uridine catabolic process (GO:0006218)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
cytidine catabolic process (GO:0006216)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
actomyosin contractile ring contraction (GO:0000916)	10	0	.07	-	 < 0.01	1.00E00	1.00E00
actomyosin contractile ring assembly (GO:0000915)	13	0	.10	-	 < 0.01	1.00E00	1.00E00
pyrimidine nucleoside metabolic process (GO:0006213)	10	0	.07	-	 < 0.01	1.00E00	1.00E00
larval foraging behavior (GO:0035177)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
histamine transport (GO:0051608)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
uracil catabolic process (GO:0006212)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
social behavior (GO:0035176)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
defense response to virus (GO:0051607)	47	0	.34	-	 < 0.01	1.00E00	1.00E00
assembly of actomyosin apparatus involved in cytokinesis (GO:0000912)	14	0	.10	-	 < 0.01	1.00E00	1.00E00
5-methylcytosine catabolic process (GO:0006211)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
thymine catabolic process (GO:0006210)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
cytokinesis (GO:0000910)	94	0	.69	-	 < 0.01	1.00E00	1.00E00
protein maturation (GO:0051604)	248	0	1.81	-	 < 0.01	2.68E-01	1.00E00
hemocyte proliferation (GO:0035172)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
proteolysis involved in protein catabolic process (GO:0051603)	320	0	2.34	-	 < 0.01	1.78E-01	1.00E00
lamellocyte differentiation (GO:0035171)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
response to electrical stimulus (GO:0051602)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
lymph gland crystal cell differentiation (GO:0035170)	11	0	.08	-	 < 0.01	1.00E00	1.00E00
exocyst localization (GO:0051601)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
phosphatidylserine exposure on apoptotic cell surface (GO:0070782)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
pyrimidine nucleobase catabolic process (GO:0006208)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
'de novo' pyrimidine nucleobase biosynthetic process (GO:0006207)	8	0	.06	-	 < 0.01	1.00E00	1.00E00
pyrimidine nucleobase metabolic process (GO:0006206)	12	0	.09	-	 < 0.01	1.00E00	1.00E00
lymph gland plasmatocyte differentiation (GO:0035169)	7	0	.05	-	 < 0.01	1.00E00	1.00E00
larval lymph gland hemocyte differentiation (GO:0035168)	17	0	.12	-	 < 0.01	1.00E00	1.00E00
dGTP catabolic process (GO:0006203)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
larval lymph gland hemopoiesis (GO:0035167)	46	0	.34	-	 < 0.01	1.00E00	1.00E00
post-embryonic hemopoiesis (GO:0035166)	46	0	.34	-	 < 0.01	1.00E00	1.00E00
embryonic crystal cell differentiation (GO:0035165)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
embryonic hemocyte differentiation (GO:0035163)	3	0	.02	-	 < 0.01	1.00E00	1.00E00
embryonic hemopoiesis (GO:0035162)	26	0	.19	-	 < 0.01	1.00E00	1.00E00
imaginal disc lineage restriction (GO:0035161)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
maintenance of epithelial integrity, open tracheal system (GO:0035160)	13	0	.10	-	 < 0.01	1.00E00	1.00E00
L-aspartate transmembrane transport (GO:0070778)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of DNA-templated DNA replication (GO:0090329)	20	0	.15	-	 < 0.01	1.00E00	1.00E00
negative regulation of locomotion involved in locomotory behavior (GO:0090327)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of locomotion involved in locomotory behavior (GO:0090325)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of tube length, open tracheal system (GO:0035159)	30	0	.22	-	 < 0.01	1.00E00	1.00E00
dendritic spine morphogenesis (GO:0060997)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
regulation of superoxide metabolic process (GO:0090322)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
regulation of tube diameter, open tracheal system (GO:0035158)	11	0	.08	-	 < 0.01	1.00E00	1.00E00
dendritic spine development (GO:0060996)	5	0	.04	-	 < 0.01	1.00E00	1.00E00
negative regulation of fusion cell fate specification (GO:0035157)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
fusion cell fate specification (GO:0035156)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
negative regulation of terminal cell fate specification, open tracheal system (GO:0035155)	2	0	.01	-	 < 0.01	1.00E00	1.00E00
terminal cell fate specification, open tracheal system (GO:0035154)	4	0	.03	-	 < 0.01	1.00E00	1.00E00
epithelial cell type specification, open tracheal system (GO:0035153)	9	0	.07	-	 < 0.01	1.00E00	1.00E00
regulation of tube architecture, open tracheal system (GO:0035152)	94	0	.69	-	 < 0.01	1.00E00	1.00E00
regulation of tube size, open tracheal system (GO:0035151)	51	0	.37	-	 < 0.01	1.00E00	1.00E00
regulation of tube size (GO:0035150)	55	0	.40	-	 < 0.01	1.00E00	1.00E00
negative regulation of intracellular protein transport (GO:0090317)	6	0	.04	-	 < 0.01	1.00E00	1.00E00
positive regulation of intracellular protein transport (GO:0090316)	10	0	.07	-	 < 0.01	1.00E00	1.00E00
positive regulation of protein targeting to membrane (GO:0090314)	1	0	.01	-	 < 0.01	1.00E00	1.00E00
